angle(rad); distance 
4.555305; 128.132736
4.571013; 127.882759
4.586721; 127.663620
4.602429; 127.475487
4.618137; 127.318497
4.633845; 127.192764
4.649553; 127.098389
4.665261; 127.035431
4.680969; 127.003937
4.696677; 127.003937
4.712385; 127.035431
4.728093; 127.098389
4.743801; 127.192764
4.759509; 127.318497
4.775217; 127.475487
4.790925; 127.663620
4.806633; 127.882759
4.822341; 128.132736
4.838049; 128.413391
4.853757; 128.724518
4.869465; 129.065872
4.885173; 129.437241
4.900881; 129.838364
4.916588; 130.268951
4.932296; 130.728729
4.948004; 131.217377
4.963712; 131.734589
4.979420; 132.279999
4.995128; 132.853302
5.010836; 133.454117
5.026544; 134.082062
5.042252; 134.736786
5.057960; 135.768188
5.073668; 136.488098
5.089376; 137.233383
5.105084; 138.003616
5.120792; 139.204880
5.136500; 140.035706
5.152208; 140.890030
5.167916; 142.214630
5.183624; 143.125824
5.199332; 144.533737
5.215040; 145.499146
5.230748; 146.986389
5.246456; 148.003372
5.262164; 149.566040
5.277872; 151.172089
5.293580; 152.266220
5.309287; 153.941544
5.324995; 155.656677
5.340703; 157.410294
5.356411; 159.201126
5.372119; 161.027954
5.387827; 162.889526
5.403535; 165.423691
5.419243; 167.361877
5.434951; 169.331039
5.450659; 171.330093
5.466367; 174.040222
5.482075; 176.799316
5.497783; 179.605118
5.513491; 182.455475
5.529199; 182.521225
5.544907; 179.805450
5.560615; 177.138367
5.576323; 175.171341
5.592031; 173.233948
5.607738; 170.698563
5.623446; 168.834244
5.639154; 166.400116
5.654862; 165.205933
5.670570; 162.864975
5.686278; 161.152100
5.701986; 159.477264
5.717694; 158.382446
5.733402; 156.246597
5.749110; 155.206314
5.764818; 153.681488
5.780526; 152.200531
5.796234; 151.238220
5.811942; 149.833237
5.827650; 148.922806
5.843358; 147.597427
5.859066; 146.741272
5.874774; 145.499146
5.890481; 144.699692
5.906189; 143.923584
5.921897; 142.804062
5.937605; 142.087997
5.953313; 141.060272
5.969021; 140.406555
5.984729; 139.778397
6.000437; 139.176147
6.016145; 138.600143
6.031853; 137.786072
6.047561; 137.277100
6.063269; 136.795471
6.078977; 136.341476
6.094685; 135.915421
6.110393; 135.517532
6.126101; 135.148071
6.141809; 134.647690
6.157516; 134.350296
6.173224; 134.082062
6.188932; 133.843185
6.204640; 133.633835
6.220348; 133.454117
6.236056; 133.304169
6.251764; 133.184082
6.267472; 133.093948
